"Convergence history of Static Temperature on point11 (in SI units)"
"Flow Time" "Vertex Maximum Static Temperature"
1. 309.1974792480469
2. 309.2015380859375
3. 309.2051086425781
4. 309.2080078125
5. 309.21044921875
6. 309.2125854492188
7. 309.2145080566406
8. 309.2162475585938
9. 309.2178039550781
10. 309.21923828125
11. 309.2205810546875
12. 309.221923828125
13. 309.2230834960938
14. 309.2242736816406
15. 309.225341796875
16. 309.2264404296875
17. 309.2274780273438
18. 309.2284851074219
19. 309.2294311523438
21. 309.2312622070312
23. 309.2330322265625
25. 309.2346801757812
27. 309.236328125
29. 309.2378845214844
31. 309.2393798828125
33. 309.2408447265625
35. 309.2422790527344
37. 309.24365234375
39. 309.2449951171875
41. 309.246337890625
43. 309.2476806640625
45. 309.2489624023438
47. 309.2502136230469
49. 309.25146484375
51. 309.252685546875
53. 309.25390625
56.5 309.2558898925781
61.5 309.2587890625
66.5 309.2616882324219
71.5 309.2644653320312
76.5 309.2672729492188
81.5 309.27001953125
86.5 309.2727966308594
91.5 309.2755126953125
96.5 309.2783203125
101.5 309.2810974121094
106.5 309.283935546875
111.5 309.2868041992188
116.5 309.2897033691406
121.5 309.2926940917969
126.5 309.2957763671875
131.5 309.2988891601562
136.5 309.3021545410156
141.5 309.3054504394531
146.5 309.3089294433594
151.5 309.3124694824219
156.5 309.316162109375
161.5 309.3199462890625
166.5 309.3239135742188
171.5 309.3279724121094
176.5 309.3322143554688
181.5 309.3365783691406
186.5 309.3410949707031
191.5 309.3457641601562
196.5 309.3505859375
201.5 309.3555908203125
206.5 309.3607177734375
211.5 309.3660278320312
216.5 309.3714904785156
221.5 309.3771362304688
226.5 309.3829345703125
231.5 309.3888549804688
236.5 309.3949584960938
241.5 309.4012145996094
246.5 309.4076538085938
251.5 309.4141845703125
256.5 309.4209289550781
261.5 309.4277954101562
266.5 309.4347534179688
271.5 309.4419555664062
276.5 309.44921875
281.5 309.4566650390625
286.5 309.4642333984375
291.5 309.471923828125
296.5 309.4797058105469
301.5 309.4876403808594
306.5 309.4956970214844
311.5 309.5038757324219
316.5 309.5121459960938
321.5 309.5205078125
326.5 309.5289916992188
331.5 309.53759765625
336.5 309.5462646484375
341.5 309.5550537109375
346.5 309.5639038085938
351.5 309.5728454589844
356.5 309.5818481445312
361.5 309.5909423828125
366.5 309.6001586914062
371.5 309.6093444824219
376.5 309.61865234375
381.5 309.6279907226562
386.5 309.6373901367188
391.5 309.6468811035156
396.5 309.6564025878906
401.5 309.6659545898438
410. 309.6818237304688
420. 309.7012023925781
430. 309.7207336425781
440. 309.7402954101562
450. 309.760009765625
460. 309.7797241210938
470. 309.7994995117188
480. 309.8192749023438
490. 309.8390502929688
500. 309.8588256835938
510. 309.8786010742188
520. 309.8982543945312
530. 309.9179077148438
540. 309.9373779296875
550. 309.9568481445312
560. 309.9761962890625
570. 309.9954223632812
580. 310.0145263671875
590. 310.0335083007812
600. 310.0523681640625
610. 310.071044921875
620. 310.089599609375
630. 310.1079711914062
640. 310.1261596679688
650. 310.1441650390625
660. 310.1620178222656
670. 310.1796875
680. 310.1971435546875
690. 310.2144775390625
700. 310.2315673828125
710. 310.2484436035156
720. 310.2651977539062
730. 310.2816772460938
740. 310.2979736328125
750. 310.3140869140625
760. 310.3300170898438
770. 310.345703125
780. 310.3612060546875
790. 310.3765258789062
800. 310.3916015625
810. 310.406494140625
820. 310.4211730957031
830. 310.4356689453125
840. 310.449951171875
850. 310.4640502929688
860. 310.4779052734375
870. 310.4916381835938
880. 310.505126953125
890. 310.5184326171875
900. 310.5315246582031
910. 310.54443359375
920. 310.55712890625
930. 310.5697021484375
940. 310.58203125
950. 310.5941772460938
960. 310.6061706542969
970. 310.6179809570312
980. 310.6295776367188
990. 310.6410522460938
1000. 310.6523132324219
1010. 310.6634216308594
1020. 310.6743469238281
1030. 310.68505859375
1040. 310.6956787109375
1050. 310.7061157226562
