"Convergence history of Static Temperature on point6 (in SI units)"
"Flow Time" "Vertex Maximum Static Temperature"
1. 307.8863525390625
2. 307.8875732421875
3. 307.8885803222656
4. 307.889404296875
5. 307.8901977539062
6. 307.8909606933594
7. 307.8916931152344
8. 307.8923645019531
9. 307.8930358886719
10. 307.8937377929688
11. 307.8944396972656
12. 307.8951110839844
13. 307.8958129882812
14. 307.896484375
15. 307.8971862792969
16. 307.8978881835938
17. 307.8986206054688
18. 307.8993225097656
19. 307.9000244140625
21. 307.9014587402344
23. 307.9028930664062
25. 307.9044189453125
27. 307.9059448242188
29. 307.907470703125
31. 307.9090270996094
33. 307.9106140136719
35. 307.9122009277344
37. 307.913818359375
39. 307.9154357910156
41. 307.9171142578125
43. 307.9187622070312
45. 307.92041015625
47. 307.9220886230469
49. 307.9237976074219
51. 307.9254760742188
53. 307.9271850585938
56.5 307.9300537109375
61.5 307.9343872070312
66.5 307.9387512207031
71.5 307.9431457519531
76.5 307.947509765625
81.5 307.951904296875
86.5 307.9562683105469
91.5 307.9606628417969
96.5 307.9650268554688
101.5 307.9694213867188
106.5 307.9737548828125
111.5 307.9780883789062
116.5 307.982421875
121.5 307.9867248535156
126.5 307.9910583496094
131.5 307.995361328125
136.5 307.9996948242188
141.5 308.0039672851562
146.5 308.0082397460938
151.5 308.0125732421875
156.5 308.016845703125
161.5 308.0211181640625
166.5 308.0254516601562
171.5 308.0297241210938
176.5 308.0340270996094
181.5 308.038330078125
186.5 308.0426635742188
191.5 308.0469970703125
196.5 308.0513305664062
201.5 308.0556640625
206.5 308.06005859375
211.5 308.064453125
216.5 308.0688171386719
221.5 308.0732116699219
226.5 308.07763671875
231.5 308.0820922851562
236.5 308.0865478515625
241.5 308.0910339355469
246.5 308.0954895019531
251.5 308.1000061035156
256.5 308.1045837402344
261.5 308.109130859375
266.5 308.1137084960938
271.5 308.1182861328125
276.5 308.1228637695312
281.5 308.1275024414062
286.5 308.1321411132812
291.5 308.1367797851562
296.5 308.1414794921875
301.5 308.1461791992188
306.5 308.15087890625
311.5 308.1556396484375
316.5 308.1603698730469
321.5 308.1651306152344
326.5 308.169921875
331.5 308.1747131347656
336.5 308.1795349121094
341.5 308.184326171875
346.5 308.1891784667969
351.5 308.1940307617188
356.5 308.1989135742188
361.5 308.2037963867188
366.5 308.2086791992188
371.5 308.2135620117188
376.5 308.218505859375
381.5 308.223388671875
386.5 308.2283325195312
391.5 308.2332763671875
396.5 308.2382507324219
401.5 308.2431640625
410. 308.2513732910156
420. 308.2613525390625
430. 308.2713012695312
440. 308.2812805175781
450. 308.2913208007812
460. 308.3013305664062
470. 308.3113098144531
480. 308.3212890625
490. 308.3313293457031
500. 308.34130859375
510. 308.3512878417969
520. 308.3612670898438
530. 308.3711547851562
540. 308.381103515625
550. 308.3909912109375
560. 308.4008178710938
570. 308.41064453125
580. 308.42041015625
590. 308.43017578125
600. 308.4398498535156
610. 308.4495239257812
620. 308.4591369628906
630. 308.4686889648438
640. 308.4781799316406
650. 308.4876708984375
660. 308.4970703125
670. 308.5064086914062
680. 308.5156860351562
690. 308.52490234375
700. 308.5341186523438
710. 308.543212890625
720. 308.5522766113281
730. 308.561279296875
740. 308.5701904296875
750. 308.5790405273438
760. 308.5878601074219
770. 308.5965881347656
780. 308.6052551269531
790. 308.6138610839844
800. 308.6223754882812
810. 308.630859375
820. 308.6392822265625
830. 308.6476135253906
840. 308.6558837890625
850. 308.6640625
860. 308.6721801757812
870. 308.6802368164062
880. 308.6882629394531
890. 308.6961975097656
900. 308.7040405273438
910. 308.7118530273438
920. 308.7195739746094
930. 308.7272033691406
940. 308.7348022460938
950. 308.7423706054688
960. 308.7498168945312
970. 308.7572021484375
980. 308.7645263671875
990. 308.7717590332031
1000. 308.7789611816406
1010. 308.7861022949219
1020. 308.7931823730469
1030. 308.8001708984375
1040. 308.80712890625
1050. 308.8139953613281
