"Convergence history of Static Temperature on point4 (in SI units)"
"Flow Time" "Vertex Maximum Static Temperature"
1. 307.8096313476562
2. 307.8097229003906
3. 307.8097839355469
4. 307.8098449707031
5. 307.8099365234375
6. 307.8100280761719
7. 307.8101196289062
8. 307.8102111816406
9. 307.8103332519531
10. 307.8104858398438
11. 307.8106384277344
12. 307.810791015625
13. 307.8109436035156
14. 307.8111267089844
15. 307.8113098144531
16. 307.8114929199219
17. 307.8116760253906
18. 307.8119201660156
19. 307.8121032714844
21. 307.8125610351562
23. 307.8130493164062
25. 307.8135681152344
27. 307.8141174316406
29. 307.8146667480469
31. 307.8152770996094
33. 307.8158874511719
35. 307.8165283203125
37. 307.8171997070312
39. 307.8179016113281
41. 307.8185729980469
43. 307.8193054199219
45. 307.8200378417969
47. 307.8207702636719
49. 307.8215637207031
51. 307.8223266601562
53. 307.8231201171875
56.5 307.8244934082031
61.5 307.8265686035156
66.5 307.8287048339844
71.5 307.8309020996094
76.5 307.8331298828125
81.5 307.8354187011719
86.5 307.8377380371094
91.5 307.840087890625
96.5 307.8424987792969
101.5 307.8449401855469
106.5 307.8473510742188
111.5 307.849853515625
116.5 307.8523559570312
121.5 307.8548583984375
126.5 307.857421875
131.5 307.8599853515625
136.5 307.8626403808594
141.5 307.8652954101562
146.5 307.8679809570312
151.5 307.8707275390625
156.5 307.8734741210938
161.5 307.8763427734375
166.5 307.8792114257812
171.5 307.8821105957031
176.5 307.8850708007812
181.5 307.8881225585938
186.5 307.8911743164062
191.5 307.8943176269531
196.5 307.8974914550781
201.5 307.9007263183594
206.5 307.9040222167969
211.5 307.9073486328125
216.5 307.9107971191406
221.5 307.9142456054688
226.5 307.9178161621094
231.5 307.9214172363281
236.5 307.9250793457031
241.5 307.9288330078125
246.5 307.9326171875
251.5 307.9365234375
256.5 307.9404907226562
261.5 307.9444580078125
266.5 307.9485473632812
271.5 307.95263671875
276.5 307.9568481445312
281.5 307.9610900878906
286.5 307.9653930664062
291.5 307.9698181152344
296.5 307.9742431640625
301.5 307.978759765625
306.5 307.9833679199219
311.5 307.9879760742188
316.5 307.99267578125
321.5 307.9974060058594
326.5 308.002197265625
331.5 308.007080078125
336.5 308.0119934082031
341.5 308.0169677734375
346.5 308.0220031738281
351.5 308.027099609375
356.5 308.0322265625
361.5 308.0374145507812
366.5 308.0426330566406
371.5 308.0479431152344
376.5 308.0532836914062
381.5 308.0586547851562
386.5 308.0640258789062
391.5 308.0695190429688
396.5 308.0750427246094
401.5 308.08056640625
410. 308.08984375
420. 308.1011657714844
430. 308.1126098632812
440. 308.1242370605469
450. 308.1359558105469
460. 308.1477661132812
470. 308.1597290039062
480. 308.1717834472656
490. 308.1838684082031
500. 308.1960144042969
510. 308.2082824707031
520. 308.2206726074219
530. 308.2330322265625
540. 308.2454223632812
550. 308.2579040527344
560. 308.2703857421875
570. 308.2828674316406
580. 308.2953796386719
590. 308.3079833984375
600. 308.3204956054688
610. 308.3330078125
620. 308.3455200195312
630. 308.3580322265625
640. 308.3705139160156
650. 308.3830261230469
660. 308.3954162597656
670. 308.4078369140625
680. 308.4202270507812
690. 308.4325561523438
700. 308.4448547363281
710. 308.4570617675781
720. 308.4692993164062
730. 308.4814147949219
740. 308.4935302734375
750. 308.5055236816406
760. 308.5174865722656
770. 308.5293579101562
780. 308.5412292480469
790. 308.552978515625
800. 308.5646667480469
810. 308.5762329101562
820. 308.5878295898438
830. 308.5992431640625
840. 308.6106262207031
850. 308.6219177246094
860. 308.6331787109375
870. 308.6443176269531
880. 308.6553344726562
890. 308.6662902832031
900. 308.6771850585938
910. 308.68798828125
920. 308.6986694335938
930. 308.7092895507812
940. 308.7198486328125
950. 308.7302551269531
960. 308.7405700683594
970. 308.7508239746094
980. 308.7610168457031
990. 308.7710876464844
1000. 308.7810668945312
1010. 308.7909545898438
1020. 308.8007507324219
1030. 308.8104248046875
1040. 308.8200988769531
1050. 308.8296203613281
