"Convergence history of Static Temperature on point18 (in SI units)"
"Flow Time" "Vertex Maximum Static Temperature"
1. 326.15380859375
2. 326.29931640625
3. 326.4426574707031
4. 326.5867309570312
5. 326.7319946289062
6. 326.8771362304688
7. 327.0203552246094
8. 327.1617736816406
9. 327.3031005859375
10. 327.4441223144531
11. 327.5850219726562
12. 327.7257080078125
13. 327.8663940429688
14. 328.0069580078125
15. 328.1467590332031
16. 328.2858581542969
17. 328.4242858886719
18. 328.5616455078125
19. 328.6970825195312
21. 328.9566040039062
23. 329.2135314941406
25. 329.4612121582031
27. 329.7020874023438
29. 329.9344482421875
31. 330.1585693359375
33. 330.3755493164062
35. 330.5852661132812
37. 330.7861328125
39. 330.9765014648438
41. 331.1608276367188
43. 331.3398132324219
45. 331.5119323730469
47. 331.6777648925781
49. 331.8363952636719
51. 331.9889221191406
53. 332.1344604492188
56.5 332.3597717285156
61.5 332.6633911132812
66.5 332.9237365722656
71.5 333.1471557617188
76.5 333.3395080566406
81.5 333.5003662109375
86.5 333.6321411132812
91.5 333.7420959472656
96.5 333.827880859375
101.5 333.8947143554688
106.5 333.941650390625
111.5 333.9688415527344
116.5 333.9807739257812
121.5 333.9800415039062
126.5 333.96728515625
131.5 333.9403991699219
136.5 333.9033203125
141.5 333.8534240722656
146.5 333.7957153320312
151.5 333.7305297851562
156.5 333.6576538085938
161.5 333.5771179199219
166.5 333.4905395507812
171.5 333.3977966308594
176.5 333.2991638183594
181.5 333.1965942382812
186.5 333.0890502929688
191.5 332.9774780273438
196.5 332.8605651855469
201.5 332.7401428222656
206.5 332.6162719726562
211.5 332.4895629882812
216.5 332.3578796386719
221.5 332.2249145507812
226.5 332.0909423828125
231.5 331.9548950195312
236.5 331.8187866210938
241.5 331.6818237304688
246.5 331.5432434082031
251.5 331.4026794433594
256.5 331.2620239257812
261.5 331.1204833984375
266.5 330.978515625
271.5 330.8359375
276.5 330.6911010742188
281.5 330.5458374023438
286.5 330.4013061523438
291.5 330.25732421875
296.5 330.113037109375
301.5 329.9682006835938
306.5 329.8238220214844
311.5 329.6799621582031
316.5 329.5364074707031
321.5 329.3942260742188
326.5 329.2534790039062
331.5 329.113037109375
336.5 328.97412109375
341.5 328.8353881835938
346.5 328.6973876953125
351.5 328.5605163574219
356.5 328.4244995117188
361.5 328.289306640625
366.5 328.1548461914062
371.5 328.0216674804688
376.5 327.8898620605469
381.5 327.7593994140625
386.5 327.6298217773438
391.5 327.5015563964844
396.5 327.3739624023438
401.5 327.2465515136719
410. 327.0388793945312
420. 326.7909545898438
430. 326.548095703125
440. 326.3088989257812
450. 326.07373046875
460. 325.8440246582031
470. 325.6175842285156
480. 325.3951721191406
490. 325.1776733398438
500. 324.9638061523438
510. 324.7532958984375
520. 324.5474548339844
530. 324.3448181152344
540. 324.1459655761719
550. 323.95166015625
560. 323.7604675292969
570. 323.5723266601562
580. 323.3875732421875
590. 323.2062683105469
600. 323.0282592773438
610. 322.8529663085938
620. 322.6814270019531
630. 322.5128784179688
640. 322.3474426269531
650. 322.184814453125
660. 322.0248718261719
670. 321.8675842285156
680. 321.7129516601562
690. 321.5613098144531
700. 321.4118957519531
710. 321.2652282714844
720. 321.1207580566406
730. 320.9796752929688
740. 320.840576171875
750. 320.7035522460938
760. 320.5682373046875
770. 320.435546875
780. 320.3050231933594
790. 320.1769714355469
800. 320.051025390625
810. 319.9273986816406
820. 319.8056945800781
830. 319.6859436035156
840. 319.5681457519531
850. 319.4519348144531
860. 319.3382873535156
870. 319.2262268066406
880. 319.1161804199219
890. 319.0081481933594
900. 318.9015502929688
910. 318.7968139648438
920. 318.694091796875
930. 318.5928344726562
940. 318.4929809570312
950. 318.3947143554688
960. 318.2978210449219
970. 318.20263671875
980. 318.1089782714844
990. 318.0167541503906
1000. 317.9256896972656
1010. 317.8362426757812
1020. 317.7482299804688
1030. 317.661376953125
1040. 317.5756530761719
1050. 317.4917297363281
