"Convergence history of Static Temperature on point8 (in SI units)"
"Flow Time" "Vertex Maximum Static Temperature"
1. 308.0852661132812
2. 308.0907592773438
3. 308.0938720703125
4. 308.0967712402344
5. 308.0994873046875
6. 308.1018371582031
7. 308.1036987304688
8. 308.105224609375
9. 308.1067504882812
10. 308.1082458496094
11. 308.1097717285156
12. 308.1112670898438
13. 308.1127014160156
14. 308.1141357421875
15. 308.1156005859375
16. 308.1170349121094
17. 308.1183776855469
18. 308.1197814941406
19. 308.1211242675781
21. 308.1237487792969
23. 308.1264038085938
25. 308.1290283203125
27. 308.1316223144531
29. 308.1342163085938
31. 308.1367492675781
33. 308.1392822265625
35. 308.141845703125
37. 308.1443786621094
39. 308.1468811035156
41. 308.1493530273438
43. 308.1518249511719
45. 308.154296875
47. 308.15673828125
49. 308.1592102050781
51. 308.16162109375
53. 308.1640625
56.5 308.1680297851562
61.5 308.1739807128906
66.5 308.1798400878906
71.5 308.1856079101562
76.5 308.1912841796875
81.5 308.1968383789062
86.5 308.202392578125
91.5 308.2078247070312
96.5 308.2131652832031
101.5 308.2184753417969
106.5 308.2236938476562
111.5 308.2288208007812
116.5 308.23388671875
121.5 308.2388916015625
126.5 308.2438659667969
131.5 308.248779296875
136.5 308.2537231445312
141.5 308.2585144042969
146.5 308.2633361816406
151.5 308.2680969238281
156.5 308.2728576660156
161.5 308.277587890625
166.5 308.2823486328125
171.5 308.2870483398438
176.5 308.2917175292969
181.5 308.29638671875
186.5 308.3010864257812
191.5 308.3058166503906
196.5 308.3104553222656
201.5 308.315185546875
206.5 308.3198852539062
211.5 308.3245849609375
216.5 308.3293151855469
221.5 308.3340454101562
226.5 308.3388061523438
231.5 308.3435668945312
236.5 308.3483276367188
241.5 308.3531188964844
246.5 308.3579711914062
251.5 308.3628540039062
256.5 308.36767578125
261.5 308.3725891113281
266.5 308.3775024414062
271.5 308.3824157714844
276.5 308.3874206542969
281.5 308.3924255371094
286.5 308.3973999023438
291.5 308.4024353027344
296.5 308.4075317382812
301.5 308.41259765625
306.5 308.4176940917969
311.5 308.4228210449219
316.5 308.4280090332031
321.5 308.4331970214844
326.5 308.4384460449219
331.5 308.4436645507812
336.5 308.4489135742188
341.5 308.4541931152344
346.5 308.4595031738281
351.5 308.46484375
356.5 308.4701843261719
361.5 308.4755554199219
366.5 308.48095703125
371.5 308.486328125
376.5 308.4917602539062
381.5 308.4972534179688
386.5 308.502685546875
391.5 308.5081787109375
396.5 308.513671875
401.5 308.5191955566406
410. 308.5283813476562
420. 308.5394897460938
430. 308.5506286621094
440. 308.5618896484375
450. 308.5731201171875
460. 308.5844116210938
470. 308.5957641601562
480. 308.6071166992188
490. 308.6184387207031
500. 308.6298217773438
510. 308.6412353515625
520. 308.652587890625
530. 308.6639709472656
540. 308.6753540039062
550. 308.6867370605469
560. 308.6980895996094
570. 308.7093505859375
580. 308.720703125
590. 308.7319946289062
600. 308.7431945800781
610. 308.75439453125
620. 308.7655944824219
630. 308.7767333984375
640. 308.7877807617188
650. 308.7987976074219
660. 308.8097839355469
670. 308.8207397460938
680. 308.8316040039062
690. 308.8424072265625
700. 308.8531799316406
710. 308.8638916015625
720. 308.87451171875
730. 308.8851013183594
740. 308.8955688476562
750. 308.9060363769531
760. 308.9163818359375
770. 308.9266967773438
780. 308.9368896484375
790. 308.9470825195312
800. 308.9571533203125
810. 308.9671630859375
820. 308.9771118164062
830. 308.9869384765625
840. 308.9967041015625
850. 309.0064086914062
860. 309.0160217285156
870. 309.0255737304688
880. 309.0350036621094
890. 309.0443725585938
900. 309.0537109375
910. 309.0629272460938
920. 309.0720825195312
930. 309.0811157226562
940. 309.0901184082031
950. 309.0990295410156
960. 309.1078491210938
970. 309.1165771484375
980. 309.125244140625
990. 309.1338500976562
1000. 309.1423950195312
1010. 309.1508178710938
1020. 309.1591491699219
1030. 309.1673889160156
1040. 309.1755981445312
1050. 309.1837158203125
