"Convergence history of Static Temperature on point9 (in SI units)"
"Flow Time" "Vertex Maximum Static Temperature"
1. 308.4160766601562
2. 308.4182434082031
3. 308.4199523925781
4. 308.4215087890625
5. 308.4229431152344
6. 308.4243469238281
7. 308.4257202148438
8. 308.4271240234375
9. 308.4285583496094
10. 308.4299621582031
11. 308.431396484375
12. 308.432861328125
13. 308.434326171875
14. 308.4357299804688
15. 308.437255859375
16. 308.4387512207031
17. 308.4402770996094
18. 308.4418334960938
19. 308.4433898925781
21. 308.4464721679688
23. 308.44970703125
25. 308.4530029296875
27. 308.4563598632812
29. 308.4597473144531
31. 308.463134765625
33. 308.4666748046875
35. 308.4701538085938
37. 308.4737548828125
39. 308.4773254394531
41. 308.48095703125
43. 308.484619140625
45. 308.48828125
47. 308.4920043945312
49. 308.4956970214844
51. 308.4994812011719
53. 308.5032653808594
56.5 308.5096130371094
61.5 308.5191650390625
66.5 308.52880859375
71.5 308.5384521484375
76.5 308.5481567382812
81.5 308.557861328125
86.5 308.567626953125
91.5 308.5773620605469
96.5 308.587158203125
101.5 308.596923828125
106.5 308.606689453125
111.5 308.6164245605469
116.5 308.626220703125
121.5 308.635986328125
126.5 308.6458129882812
131.5 308.6556396484375
136.5 308.66552734375
141.5 308.6754150390625
146.5 308.6853637695312
151.5 308.6952514648438
156.5 308.7052307128906
161.5 308.7152404785156
166.5 308.7252807617188
171.5 308.7353820800781
176.5 308.7454833984375
181.5 308.7556762695312
186.5 308.7659301757812
191.5 308.7762145996094
196.5 308.7864990234375
201.5 308.796875
206.5 308.8073120117188
211.5 308.8177795410156
216.5 308.8283081054688
221.5 308.8388977050781
226.5 308.8494873046875
231.5 308.8601684570312
236.5 308.8709106445312
241.5 308.8816528320312
246.5 308.8924560546875
251.5 308.9033203125
256.5 308.9142150878906
261.5 308.9251403808594
266.5 308.9360961914062
271.5 308.9470825195312
276.5 308.9581298828125
281.5 308.96923828125
286.5 308.9802856445312
291.5 308.9914245605469
296.5 309.0025024414062
301.5 309.0137023925781
306.5 309.0248718261719
311.5 309.0360412597656
316.5 309.0472412109375
321.5 309.0584106445312
326.5 309.069580078125
331.5 309.080810546875
336.5 309.0919799804688
341.5 309.1031799316406
346.5 309.1144104003906
351.5 309.1255493164062
356.5 309.1367492675781
361.5 309.1478881835938
366.5 309.1590270996094
371.5 309.170166015625
376.5 309.1812438964844
381.5 309.1923217773438
386.5 309.203369140625
391.5 309.21435546875
396.5 309.225341796875
401.5 309.236328125
410. 309.2543029785156
420. 309.2760009765625
430. 309.2974853515625
440. 309.3187561035156
450. 309.33984375
460. 309.3607482910156
470. 309.3814086914062
480. 309.4017944335938
490. 309.4219970703125
500. 309.44189453125
510. 309.4615783691406
520. 309.48095703125
530. 309.5000915527344
540. 309.5188903808594
550. 309.5374755859375
560. 309.5556945800781
570. 309.5736694335938
580. 309.5912780761719
590. 309.6086730957031
600. 309.6256713867188
610. 309.6423645019531
620. 309.6587829589844
630. 309.6748962402344
640. 309.690673828125
650. 309.7061767578125
660. 309.7213439941406
670. 309.7362060546875
680. 309.7507934570312
690. 309.7650756835938
700. 309.7790222167969
710. 309.7926940917969
720. 309.8060302734375
730. 309.8191528320312
740. 309.8319091796875
750. 309.8444213867188
760. 309.8566589355469
770. 309.8686218261719
780. 309.8802795410156
790. 309.8916320800781
800. 309.9027709960938
810. 309.9136352539062
820. 309.9242248535156
830. 309.9345703125
840. 309.9446411132812
850. 309.9544677734375
860. 309.9640502929688
870. 309.973388671875
880. 309.9825439453125
890. 309.9913635253906
900. 310.0000305175781
910. 310.0084533691406
920. 310.0166320800781
930. 310.0245971679688
940. 310.0324096679688
950. 310.0399169921875
960. 310.0473022460938
970. 310.054443359375
980. 310.0614013671875
990. 310.0681762695312
1000. 310.0747375488281
1010. 310.0811462402344
1020. 310.0873718261719
1030. 310.0934143066406
1040. 310.0992736816406
1050. 310.10498046875
