"Convergence history of Static Temperature on point17 (in SI units)"
"Flow Time" "Vertex Maximum Static Temperature"
1. 311.3734130859375
2. 311.3977355957031
3. 311.423095703125
4. 311.4478454589844
5. 311.4717407226562
6. 311.4947509765625
7. 311.5166320800781
8. 311.5375061035156
9. 311.5577087402344
10. 311.5771789550781
11. 311.5960388183594
12. 311.6144104003906
13. 311.6322937011719
14. 311.6497497558594
15. 311.6667175292969
16. 311.6832580566406
17. 311.6994323730469
18. 311.7152099609375
19. 311.7305603027344
21. 311.7594604492188
23. 311.7874450683594
25. 311.8139953613281
27. 311.8394165039062
29. 311.86376953125
31. 311.8871154785156
33. 311.9096069335938
35. 311.9313354492188
37. 311.9522094726562
39. 311.97216796875
41. 311.9916381835938
43. 312.0107727050781
45. 312.0293579101562
47. 312.0474853515625
49. 312.0650939941406
51. 312.0822448730469
53. 312.0989685058594
56.5 312.1258544921875
61.5 312.1640319824219
66.5 312.1996154785156
71.5 312.2334289550781
76.5 312.2657470703125
81.5 312.2965698242188
86.5 312.3258666992188
91.5 312.3544311523438
96.5 312.3818054199219
101.5 312.4083251953125
106.5 312.4338989257812
111.5 312.4586181640625
116.5 312.4825439453125
121.5 312.5057983398438
126.5 312.5284118652344
131.5 312.5500793457031
136.5 312.5711669921875
141.5 312.5913391113281
146.5 312.6109619140625
151.5 312.6300048828125
156.5 312.6484069824219
161.5 312.6661682128906
166.5 312.6833801269531
171.5 312.7000122070312
176.5 312.7160949707031
181.5 312.7317199707031
186.5 312.7467651367188
191.5 312.7613525390625
196.5 312.7752380371094
201.5 312.7886047363281
206.5 312.8015747070312
211.5 312.8140258789062
216.5 312.8258361816406
221.5 312.8372497558594
226.5 312.8483581542969
231.5 312.8589477539062
236.5 312.8692321777344
241.5 312.8791198730469
246.5 312.8885803222656
251.5 312.8975524902344
256.5 312.9061584472656
261.5 312.9143676757812
266.5 312.9222106933594
271.5 312.9296569824219
276.5 312.9366149902344
281.5 312.9431457519531
286.5 312.9493713378906
291.5 312.955322265625
296.5 312.9609375
301.5 312.9660949707031
306.5 312.970947265625
311.5 312.9754943847656
316.5 312.9797058105469
321.5 312.9837341308594
326.5 312.9874572753906
331.5 312.9908447265625
336.5 312.9940795898438
341.5 312.9969177246094
346.5 312.9994812011719
351.5 313.0018005371094
356.5 313.0038146972656
361.5 313.0055236816406
366.5 313.0069885253906
371.5 313.0082092285156
376.5 313.0092468261719
381.5 313.010009765625
386.5 313.0105590820312
391.5 313.0108337402344
396.5 313.0109252929688
401.5 313.0106506347656
410. 313.0097961425781
420. 313.0080261230469
430. 313.0054016113281
440. 313.0019226074219
450. 312.9976501464844
460. 312.9927368164062
470. 312.9870300292969
480. 312.9806213378906
490. 312.9736938476562
500. 312.966064453125
510. 312.9576110839844
520. 312.9486389160156
530. 312.9391174316406
540. 312.928955078125
550. 312.9183654785156
560. 312.9071960449219
570. 312.8955383300781
580. 312.8833618164062
590. 312.8707275390625
600. 312.8576354980469
610. 312.8440856933594
620. 312.8301086425781
630. 312.8157958984375
640. 312.8010559082031
650. 312.7859802246094
660. 312.7705688476562
670. 312.7548522949219
680. 312.7388000488281
690. 312.722412109375
700. 312.7057189941406
710. 312.6888122558594
720. 312.6716003417969
730. 312.6542053222656
740. 312.6365661621094
750. 312.6186218261719
760. 312.6004333496094
770. 312.5821228027344
780. 312.5635681152344
790. 312.5448913574219
800. 312.5260620117188
810. 312.5069885253906
820. 312.4878540039062
830. 312.4685668945312
840. 312.4491882324219
850. 312.4296264648438
860. 312.4099731445312
870. 312.3902587890625
880. 312.3704223632812
890. 312.3504943847656
900. 312.3305053710938
910. 312.3104553222656
920. 312.2903747558594
930. 312.2701721191406
940. 312.2499694824219
950. 312.2297058105469
960. 312.2094421386719
970. 312.1891784667969
980. 312.1688537597656
990. 312.1485595703125
1000. 312.1282653808594
1010. 312.1079711914062
1020. 312.0876770019531
1030. 312.0673828125
1040. 312.0470886230469
1050. 312.0269165039062
